folder|name|url
AI/AI对话/Z.ai Chat - Free AI powered by GLM-4.6 & GLM-4.5|Z.ai Chat - Free AI powered by GLM-4.6 & GLM-4.5|https://chat.z.ai/
AI/AI对话/DeepSeek - 探索未至之境|DeepSeek - 探索未至之境|https://chat.deepseek.com/
AI/AI对话/Qwen Chat|Qwen Chat|https://chat.qwen.ai/
AI/AI对话/KAT-Coder-StreamLake|KAT-Coder-StreamLake|https://www.streamlake.ai/product/kat-coder
AI/AI对话/MiniMax AI ｜ AGI-Powered Foundation Models & Voice/Text/Image/Video Tools|MiniMax AI ｜ AGI-Powered Foundation Models & Voice/Text/Image/Video Tools|https://www.minimax.io/
AI/AI对话/《Grokipedia》|《Grokipedia》|https://grokipedia.com/
AI/AI对话/概述 - OpenAI API|概述 - OpenAI API|https://platform.openai.com/docs/overview
AI/AI对话/Kimi - K2 长思考上线|Kimi - K2 长思考上线|https://www.kimi.com/
AI/AI对话/aistudio.google.com/apikey|aistudio.google.com/apikey|https://aistudio.google.com/apikey
AI/AI对话/捷径 |Excel AI |用 AI 构建和编辑 Excel 的最佳方法 --- Shortcut | Excel AI | The Best Way to Build and Edit Excel with AI|捷径 |Excel AI |用 AI 构建和编辑 Excel 的最佳方法 --- Shortcut | Excel AI | The Best Way to Build and Edit Excel with AI|https://www.tryshortcut.ai/
AI/AI对话/Manus: 一出手，就拿手|Manus: 一出手，就拿手|https://manus.im/
AI/AI对话/CrackStation - Online Password Hash Cracking - MD5, SHA1, Linux, Rainbow Tables, etc.|CrackStation - Online Password Hash Cracking - MD5, SHA1, Linux, Rainbow Tables, etc.|https://crackstation.net/
AI/AI对话/Decrypt MD5, SHA1, MySQL, NTLM, SHA256, MD5 Email, SHA256 Email, SHA512, Wordpress, Bcrypt hashes for free online|Decrypt MD5, SHA1, MySQL, NTLM, SHA256, MD5 Email, SHA256 Email, SHA512, Wordpress, Bcrypt hashes for free online|https://hashes.com/en/decrypt/hash
AI/AI对话/pcapfix - online pcap / pcapng repair service|pcapfix - online pcap / pcapng repair service|https://f00l.de/hacking/pcapfix.php
AI/AI对话/Bearly.ai|Bearly.ai|https://bearly.ai/
AI/AI对话/ChatGPTHelper: 免费在线 ChatGPT 网站|ChatGPTHelper: 免费在线 ChatGPT 网站|https://www.aicodehelper.com/chat/index.html
AI/AI对话/Galileo AI · Copilot for interface design|Galileo AI · Copilot for interface design|https://www.usegalileo.ai/
AI/AI对话/MetaMemo|MetaMemo|https://metamemo.ai/
AI/AI对话/EmojiAI.com - Suggest emojis by AI|EmojiAI.com - Suggest emojis by AI|https://emojiai.com/
AI/AI对话/Free Open Source Tailwind CSS Components|Free Open Source Tailwind CSS Components|https://www.hyperui.dev/
AI/AI对话/Khroma - The AI color tool for designers|Khroma - The AI color tool for designers|https://www.khroma.co/
AI/AI对话/Tailwind CSS Components - 600+ Free Examples and Templates|Tailwind CSS Components - 600+ Free Examples and Templates|https://tailwindcomponents.com/
AI/AI对话/Gmail|Gmail|https://mail.google.com/mail/u/0/#inbox
AI/AI对话/AI Chat|AI Chat|https://duckduckgo.com/?q=DuckDuckGo&ia=chat
AI/AI对话/我来 wolai - 不仅仅是未来的云端协作平台与个人笔记|我来 wolai - 不仅仅是未来的云端协作平台与个人笔记|https://www.wolai.com/
AI/AI对话/Generative AI for Beginners|Generative AI for Beginners|https://microsoft.github.io/generative-ai-for-beginners/#/
AI/AI对话/动手实战人工智能 AI By Doing|动手实战人工智能 AI By Doing|https://aibydoing.com/
AI/AI对话/sosumi.ai - Apple Docs for LLMs|sosumi.ai - Apple Docs for LLMs|https://sosumi.ai/
AI/AI对话/ChatGPT助手和YouTube/Netflix双字幕 Trancy|ChatGPT助手和YouTube/Netflix双字幕 Trancy|https://manual.trancy.org/cn/
AI/AI对话/Huemint - AI color palette generator|Huemint - AI color palette generator|https://huemint.com/
AI/AI对话/快速生成独特的背景设计 Haikei|快速生成独特的背景设计 Haikei|https://app.haikei.app/
AI/AI对话/Cursor - The AI-first Code Editor|Cursor - The AI-first Code Editor|https://www.cursor.so/
AI/AI对话/Devv|Devv|https://devv.ai/
AI/AI对话/首页 · 魔搭社区|首页 · 魔搭社区|https://modelscope.cn/home
AI/AI对话/AmyMind: AI驱动的思维导图和白板应用|AmyMind: AI驱动的思维导图和白板应用|https://amymind.com/cn/
AI/AI对话/去除背景，免费去除背景图像|去除背景，免费去除背景图像|https://remove-bg.ai/
AI/AI对话/Temporary Disposable Gmail|Temporary Disposable Gmail|https://www.emailnator.com/
AI/AI对话/Free Temp Mail|Free Temp Mail|https://edumail.icu/
AI/AI对话/Email.ML|Email.ML|https://email.ml/
AI/AI对话/HF-Mirror - Huggingface 镜像站|HF-Mirror - Huggingface 镜像站|https://hf-mirror.com/
AI/AI对话/2024 年免费 AI API 榜单|2024 年免费 AI API 榜单|https://www.freeaihunter.com/
AI/AI对话/clash-verge-rev/clash-verge-rev: A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience|clash-verge-rev/clash-verge-rev: A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience|https://github.com/clash-verge-rev/clash-verge-rev
AI/AI对话/Stitch - Design with AI|Stitch - Design with AI|https://stitch.withgoogle.com/
AI/AI对话/Development containers|Development containers|https://containers.dev/
AI/AI对话/astrit/css.gg: 700+ Pure CSS, SVG & Figma UI Icons Available in SVG Sprite, styled-components, NPM & API|astrit/css.gg: 700+ Pure CSS, SVG & Figma UI Icons Available in SVG Sprite, styled-components, NPM & API|https://github.com/astrit/css.gg
AI/AI对话/xuhuai66/used-book-pro: 微信小程序云开发校园二手书商城，可在线支付提现，源码全开源|xuhuai66/used-book-pro: 微信小程序云开发校园二手书商城，可在线支付提现，源码全开源|https://github.com/xuhuai66/used-book-pro
AI/AI对话/Dreamina: Create realistic talking avatars with AI avatar generator|Dreamina: Create realistic talking avatars with AI avatar generator|https://dreamina.capcut.com/
AI/AI对话/Hermchats 无限热爱|Hermchats 无限热爱|https://www.hermchats.com/
AI/AI编程/Copilot Hub|Copilot Hub|https://app.copilothub.ai/copilots
AI/AI编程/Cursor Directory - Cursor Rules & MCP Servers|Cursor Directory - Cursor Rules & MCP Servers|https://cursor.directory/
AI/AI编程/v0.dev by Vercel Labs|v0.dev by Vercel Labs|https://v0.dev/
AI/AI编程/Tencent Cloud Code Assistant CodeBuddy|Tencent Cloud Code Assistant CodeBuddy|https://www.codebuddy.ai/
AI/AI绘画/Ready to live all your cartoon dreams at a time?|Ready to live all your cartoon dreams at a time?|https://toonme.com/
AI/AI绘画/text2image|text2image|https://text2image.jaychen.fun/
AI/API与密钥/OpenAI Status|OpenAI Status|https://status.openai.com/
CTF/CTF平台/Bugku CTF|Bugku CTF|https://ctf.bugku.com/
CTF/CTF平台/ctf.show|ctf.show|https://ctf.show/
CTF/CTF平台/CTFHub|CTFHub|https://www.ctfhub.com/#/index
CTF/CTF平台/i春秋 演武场|i春秋 演武场|https://arena.ichunqiu.com/
CTF/CTF平台/NSSCTF|NSSCTF|https://www.nssctf.cn/index
CTF/CTF平台/攻防世界|攻防世界|https://adworld.xctf.org.cn/home/index
CTF/CTF平台/在线工具 - Bugku CTF|在线工具 - Bugku CTF|https://ctf.bugku.com/tools
CTF/CTF平台/SRK Toolbox|SRK Toolbox|https://btsrk.me/
CTF/CTF平台/比赛列表 - 2025年度烟草行业网络和数据安全竞赛|比赛列表 - 2025年度烟草行业网络和数据安全竞赛|https://ctf.yc.inspc.cn/
CTF/CTF平台/CTFtime.org / All about CTF (Capture The Flag)|CTFtime.org / All about CTF (Capture The Flag)|https://ctftime.org/
CTF/CTF平台/全国网络安全行业职业技能大赛|全国网络安全行业职业技能大赛|https://inspc.org.cn/#/
CTF/CTF平台/竞赛系统|竞赛系统|https://entry.ncvsc.inspc.org.cn/
CTF/CTF平台/第二届全国网络安全行业技能职业大赛|第二届全国网络安全行业技能职业大赛|http://114.80.38.89:9999/login?redirect=%2Findex
CTF/编码加解密/Base64 Decode and Encode - Online|Base64 Decode and Encode - Online|https://www.base64decode.org/
CTF/编码加解密/Cisco 密码在线破解|Cisco 密码在线破解|https://www.ifm.net.nz/cookbooks/passwordcracker.html
CTF/编码加解密/CyberChef|CyberChef|https://ctf.mzy0.com/cyberchef_off/
CTF/编码加解密/CyberChef|CyberChef|https://ctf.mzy0.com/CyberChef3/
CTF/编码加解密/dCode - Solveurs, Crypto, Maths, Codes, Calculs en Ligne在线的密码解码的工具，包含了常见的密码加密解密小工具|dCode - Solveurs, Crypto, Maths, Codes, Calculs en Ligne在线的密码解码的工具，包含了常见的密码加密解密小工具|https://www.dcode.fr/
CTF/编码加解密/factordb 在线大数分解|factordb 在线大数分解|http://factordb.com/
CTF/编码加解密/Hash, hashing, and encryption toolkit|Hash, hashing, and encryption toolkit|https://md5hashing.net/
CTF/编码加解密/hashcat - advanced password recovery|hashcat - advanced password recovery|https://hashcat.net/hashcat/
CTF/编码加解密/HashClash|HashClash|https://www.win.tue.nl/hashclash/
